node_key,difference
020008cbcf8cc4744fe693a0863d55dcd3d19903c7c5c437dc666f1ee734a09d06,-0.000038
0200854cb66614c5b8025ea5c79e1d800a2260c7ce4acb247b8300f0f2bba765a5,-0.119885
020088851c3947376de73ec17f0ffc61fad4e66e861a177cbb78b54af4cd60d496,-0.000038
0200a69ceb2ba5ede49dd8dfb370f8ab4e0082566ba9945c4269a0f80d1bb9fc4c,-0.000037
0200bc3157d7a7fb20ab6be74c610223d8c76d537712f1c02081c9ee8081d70798,-0.000037
02012896682ee78f27d075be67c7535d3d660aaac3ef21d1098e71359a710fef28,-0.000038
02015f80e5b7ed38768011ed045c3b5227ccb8c485b2d75d47d01a2dc476d79215,-0.000038
02017c90d59e3d8b8f6a99729c4a49996d96f1958e891c016666d7344993faefb5,-0.122611
0201bae3ecf25e61bd667393d2d649e2a693321aba5f833a8129b010ba2d7c1e30,-0.000037
02025e539c81fe4582e1d3b38044c8ce7f44721685e1c14a1f375a49f81d80ad33,-0.000037
02026da3a57a0892914ed03843b2d2e926298b29f2c631b013e15eca2456b24b86,-0.000038
0202780e2a3eac122d5d2ec4418a241ca35edff7dae233c077e27e8ebadb2f84ce,-0.122498
0202a62726234d0f428a7488bdb36be43268fb8da1e6a85050e83f159392db63aa,-0.121752
0202ade1da43142fa3163165942be6c5f8a8cf62857fab63bb9b32fd1233abdb3f,-0.000038
0202cf773af0530781aa7d4903e2b33be2fcbb00325251296643fd346fa553b1ec,-0.113986
0202dbad33b94c110b66cab857b18c34f2e7f9c7a734ff35cf84fd188fca9d6c10,-0.000037
0202dca49af3c4cc8fbfdd600a47e47a7a0cb32ea6a52ee1ddf7d7526d006789f0,-0.000037
020340b0116345c44e0a600960b46c5c4cdd9823bc0edc9726e45874d74e2c9a57,-0.000037
02034625012e3f2bf3d8f07b21603c16e28524b9b7fd2b4014bc3adbfb6f6ce650,-0.000038
02035505513c0274867f9cd4f03bf789d6021092feee7b24a0816d3a7e3a675603,-0.000037
02040ada8d0976bf8aad48eb08dbfd4cf5b83746fe74354ac662f876775b3237dd,-0.000038
02049445e096a4dc45e07f493d042ff268e4b48c6e67612485daef741865adf2b8,-0.000037
0204a026652a623de75498b449a4ca0e87cd61ea473f8332798e719318275e38a6,-0.000037
0204ac0056482d5851161d58ec1b3a412896290131b39c6ff9d3561b9386d42f46,-0.000037
0204f74f55e13c8839d1b343553be00f7720bb40a423d12cd6cc52ced63ce57988,-0.000038
02054dd458eaa6744ba6251897c577a4a685b8f8b6589ccc7dea6120e679f681e7,-0.109580
0205a6983fedf5b2d28a69afc2d7e311b848722fa154ec89561bfaac8192024b0e,-0.000037
0205c7e373d90efe3aec95268d0f54df0b357569fd36a82f8119f9509529a6ac81,-0.120594
0206544fe19cae1a34da7bed0934f1b54260bf212a3189d114cf4e8f38ecc7e72f,-0.000038
02066c2ef7515bf30cec3f99c08d58e69794c4cf957b1cb4502735d4eab37899df,-0.000037
0206c6b3a4bb42bf1ef2eeaab2423d44ad3ce9ee0afbde13bbf85435f620fa6c35,-0.107377
0206ebfba95aa6a86a5fa582733bbfa61aef13124cd89de7cd48f61be70e32bbc5,-0.000037
0206ec0c0a1bb51c8c9358b547906539645bca00c4c14406026e360178688cbe1c,-0.000037
0207a1c6161c59efd359e9d1bf3c1d19f125260ef95e4fb1681ee149593542ce00,-0.000037
0207af55d240fe3111e56afb5189d3f8bd59c9c0b718ffd88fbe85366771a4a586,-0.000037
0207bae626d3eff456826db964bb0977ea928636e200f453682fdc1c3248201bd1,-0.000037
0207f66884989d79ae3cb9bb2af4564d274c0f04cf84ce131388c8ba63811725b6,-0.000037
02088f7ff103424d4888374981555cb32ad3ba67ffe5458c96c59cbb9aa65dc19f,-0.000037
020894019ad83eb2c0bcac67b6990951ddde809a5f5eef2431e024be30ed61a8a6,-0.000038
0208d382199d796460be254f02b734a932b83e9b0dea7994868fbd9e775d40dafe,-0.000037
020924911e010d0c522703e44444df341a71d32937f7e629d783644689d32603ad,-0.000037
02093ac99c5dff90bd6047ec3fc1cabbed46628d0811750df677d49b0f5e5187ee,-0.113277
020951af3dcdf249ebda32f057ae07e95b51afebf6b92dc97195c5bfded8c3bb9b,-0.120408
02097815e5842851237958c2e0af3dfb6157f5f61d715dd5466aea7de4b6643d36,-0.122535
02097909903ea48f7910c3711706c8bad745338dcf59ff222c6b4da80fac7e4d34,-0.000037
0209ceadb77c8572fd6e708ae3dbe07865426410369136ab81561f1124e36044e5,-0.000037
0209f91194d9f83238ec1b55e4ffa419bb64a7639dcbd63d12998195b12cc7153b,-0.000038
020a6ffc493b245c77f4cb9fa63f32ca0403663fcb2caff3c3e82b14a6d1226551,-0.000037
020ab4a6614110cd65b176901f1e8f3c8521f6f8159cda959012d490e06c497547,-0.000037
020ab541c169e8ccec5c9458349084185d9579fa93f0eed25dda4ca531a9aa03c6,-0.085761
020ace78ed853605bcd7ae87372bd8b12fbe87f3d6aa82665f63db4e07d8dd6ea7,-0.000037
020aff12225d54aa0562763a72c99a2c3a4b5082c0411afc47b5c8908d793e2e80,-0.112044
020b16d68ae2ee05069b0535d5cd03ae02f2c3e3099b015b6f3763c242319d3ea7,-0.000037
020ba2a0542eaf4071fe82ffc8c1bee83b7dcac77698c3405cb4ddf3bb07e75013,-0.000038
020bfe4cce690c9e647a4353f44df5c6b261eedefb5882274f09573064c6f48dd0,-0.000037
020cb3fca05f5517037288ebf2d930c0d2a93543d1e9adb19b7c8b831e5c805521,-0.111484
020cc91765f4fb69f241985b01174d958dc0d5dbf55e133b0b7b795c152ef92015,-0.000037
020cfac2115fc7947bec7cdadb5c2e0191899b3ddb5f5f1a9ce04700ad354d7381,-0.000037
020d49bcb59c4eebb50eb5c4cfe84e10f19d9e1ed5de8776ca5038f4f716a824e5,-0.000037
020d906619df62c6c583d1071f50384258676518176ffef480bd93ad80d33b033b,-0.000038
020da649c0b3d0b97d63b4b0f1bf579ed03d5632f66d184ec6ac5b133d03d7f5ad,-0.000037
020ddb1db73f5484139e2f4194a03697e89a97c81ff6eb7396229102a39d416fe9,-0.000037
020e610bfeab21fb6241f9c4f7a8cc82004dec225ac23143445d7a9fa5fb1ef83b,-0.000037
020eb143e8bbc5947ee2dbc82594bba19e4524c40d30f67b97d1e26bc350c5d008,-0.000037
020ecab5348cbd785853d6fc68917a85ece1eed870f88fb5f916b91a79e2497931,-0.112567
020f8143f29e8a97aa4afff72d659c2a177da437913e258ba96068fb9349b9fdbe,-0.000038
020fbe628fb6259c45ffaffde8f250432fd0a8d056f69176c8dc9c05df35ee7b98,-0.111820
020fd97d415d5723f3df46da691437d5aafd45ef28684b66fd899f11d07f9f0d93,-0.000037
021017f37e7123c9eea6f5a9eea4e4690a4079e0f5e24cd0ab8e5a3233d508ff09,-0.000037
021040cbe04044a2821934c831f4d3880cbf40146899c19b7571b8d632407adc46,-0.114994
021056202030cd1733a1b3988c0f22f7d64f2ff8565ae3183795580d4dfeeb3000,-0.082288
021071ae155c4ebf69c26c525da03b6f8bcb0b60c0f18fa1581e021fc5a87e84e6,-0.000037
0210898c6d70bad8d55e80c766635ef1010dfe6cce67c88936b10816f1ca51991e,-0.116226
0210db054e07621a8c878574f543f9ab763f782ca8298d1e9437dfb963dacffc20,-0.000037
0210f4afb75eb93128afd4eec555dde0ff3d193df402fc3e295c1b54ed7e48d699,-0.104839
02110a5a485716b21f6c21f68461d3d4cf0f95ed673c13b17c322dce73b0ed4843,-0.000037
0211193a372697b12bc361a9d000c4f89f37ce4a815b214e600b1ee14a47ad795f,-0.000037
02114bc650a976cc32f580847364ae5d64f1a3772c63383c28993af8ac3dc9f127,-0.000037
0211ef1a5feb54616a58c977ad72cff216b18892b183a331c72ce59acd6abb9965,-0.000037
02124e826656135e3fd1177adbf72dac59effe07ca2f804321fe82aba3b49c50d9,-0.000037
02127dc66d2a70d420d854f209f96ce7fae9c1740dcaa089c44aaf12c6223b1640,-0.000038
